cpf;nome;Partido
90;ALVARO EXPEDITO JERONYMO;PSOL
91;AMANDA SANTOS DA SILVA;PATRIOTA
92;MARCIO ALVARES DE SOUZA;PSC
93;ANA FLÁVIA DE FARIAS ZENAIDE;AVANTE
94;ANA PAULA TAVARES DE OLIVEIRA GOFFI;MDB
95;ANA CLÁUDIA FERREIRA DE PAIVA;PDT
96;ANDERSON GOMES DE CAMPOS;PRTB
97;ANDERSON LUIZ BIANCHINI;PROS
98;ANDERSON GONDIM SAMPAIO;PTB
99;ANDERSON SEVERIANO GOMES;REDE
100;CARLOS ANDRÉ FURTADO;AVANTE
101;ANDRE EDUARDO RIBEIRO;PATRIOTA
102;ANDRÉ LUIS DE MORAES;PDT
103;ANDRE LUIS RAMOS PEDROSO;PTB
104;ANDRE HENRIQUE BUENO DE OLIVEIRA;PATRIOTA
105;ANDRÉA DE OLIVEIRA MORAES;NOVO
106;ANDRÉA CRISTINA PRADELLA;PROS
107;ANDRÉA REIS DUARTE;AVANTE
108;ANDRÉIA ALVES DO AMARAL;REPUBLICANOS
109;ANDREIA APARECIDA GOMES DE SOUSA FERNANDES;SOLIDARIEDADE
110;ANDRÉIA ROSA DA SILVA TOFOLO;SOLIDARIEDADE
111;ANDREIA VAZ TOSTES IRENTE;MDB
112;ANE CAROLINE SOLLAR PEREIRA;PSB
113;ANETE MARIA PIZZIMENTI;PRTB
114;ANGELA BARBOSA DOS SANTOS;SOLIDARIEDADE
115;ANGELA ISABEL RODRIGUES;PRTB
116;FLAVIANE MENESES AQUINO;PTB
117;ANTONIO CARLOS RODRIGUES;PL
118;ANTONIO MARCOS DA SILVA POLYCENO;AVANTE
119;ANTONIO CARLOS DA MOTTA;NOVO
120;ANTONIO FERNANDES DOS SANTOS NETO;PDT
121;ANTÔNIO OCILIO VASCONCELOS DA SILVA;PSOL
122;JONATHAN CRISTIANO RODRIGUES DA SILVA SALES;PSDB
123;APARECIDO RUBENS DE ANDRADE;PROS
124;MARCIO AUGUSTO DE MEDEIROS;PTB
125;ARIADNA THALIA DA SILVA ARANTES;PSB
126;GRACIANO ARILSON DOS SANTOS;PSC
127;ISABEL ALINE ROSA;PMB
128;ARLINDO CHIGNALIA JUNIOR;PT
129;ARMANDO FERREIRO RODRIGUES;MDB
130;ARMANDO INFANTI JUNIOR;PATRIOTA
131;ARNALDO CALIL PEREIRA JARDIM;CIDADANIA
132;ARNALDO SALVETTI PALACIO JUNIOR;MDB
133;FRANCISCO DE ASSIS CARVALHO ARTEN;MDB
134;ARTHUR MARIO PINHEIRO MACHADO;REPUBLICANOS
135;ARTHUR BRAGANCA DE VASCONCELLOS WEINTRAUB;PMB
136;ARTUR ROGÉRIO GUIMARÃES;PMN
137;POLLYANNA DO VALLE ATAGIBA;PT
138;MARIA AUGUSTA FERREIRA FONSECA;UNIÃO
139;JOSÉ AUGUSTO BARBOSA DA SILVA;PMN
140;AUGUSTO DE ARRUDA BOTELHO NETO;PSB
141;JOSÉ AUGUSTINHO DOS SANTOS;AGIR
142;AURELIA CINAQUI AMARAL;PSC
143;AYRTON JOSÉ RODRIGUES;DC
144;ELIZARDE DA SILVA SOUSA;PP
145;LUIZ FELIPE BALEIA TENUTO ROSSI;MDB
146;BARBARA HUYARA DE OLIVEIRA VICTORIANO KOGOS;REPUBLICANOS
147;BEATRIZ BARBIERE OLIVEIRA;PCB
148;BEATRIZ CAROLINA REIS;PRTB
149;REGINALDO BELARMINO DA SILVA;PRTB
150;BENEDITO APARECIDO DA SILVA;REPUBLICANOS
151;BERNARDO LERER;PT
152;MASSAEL BESSA DA SILVA;PP
153;ROBERTO NOVAES REIS;PSB
154;MARIA ISABEL LOPES DA CUNHA SOARES;REDE
155;BIANCA COLEPICOLO;PP
156;BIANCA MARIA DELLA SANTA PIMENTA;PROS
157;LUIS CLAUDIO BILI LINS DA SILVA;SOLIDARIEDADE
158;SEVERINO DE OLIVEIRA MELO;AGIR
159;MANOEL DOS SANTOS SILVA IRMAO;AGIR
160;UBIRATAN FIM MENDES;AVANTE
161;MARIA CELESTE JUSTA;PTB
162;ANDRÉ ALMEIDA MILIAN;AGIR
163;ROSILAINE APARECIDA DOS SANTOS BRANDÃO;PL
164;WILSON CAPUTO SANT'ANNA;DC
165;JHONATAN ARAUJO PANHAGUA;PP
166;ROBERVAL BARBOSA DE JESUS;AGIR
167;BRUNA KARINI DA SILVA;NOVO
168;BRUNO AREVALO GANEM;PODE
169;BRUNO MADEIRA DE CARVALHO;PTB
170;BRUNO MARINHO BARCELLOS;PRTB
171;BRUNO SCAFFIDI;PSD
172;ANDERSON CAVANHA;PL
173;RAFAEL BRUXELLAS PARRA;PT
174;MARCELO FRANCISCO DE LACERDA;PMN
175;JOSE ROBERTO BARBOSA DE SOUZA;UNIÃO
176;FRANCISCO ALVES DA SILVA;AVANTE
177;FAUSTO ALVES RAMALHO;REPUBLICANOS
178;GILBERTO MACHADO DE OLIVEIRA MARQUES;AVANTE
179;VANESSA CRISTINA DE ROSSI;PSB
180;SAMUEL VITOR PEREIRA BERNARDI;PP
181;ADOLFO TIMOTIO;REDE
182;MARCIO ANTONIO DE OLIVEIRA;PROS
183;CAIO BIANCHI BECHARA;NOVO
184;CAIO AUGUSTO SILVA DOS SANTOS;UNIÃO
185;CAIO LYSIAS SPINA;PMN
186;LUIZ CLAUDIO NOGAROTO AMARAL;PODE
187;JOSE CAMILO GAVA NETO;PTB
188;EDUARDO CAMILO TERRA DOS SANTOS;PCB
189;ELIANE CRISTINA CAMARGO;AVANTE
190;JULIANA PINTO GONÇALVES;PTB
191;JOSÉ AUGUSTO ROSA;PL
192;GUILHERME MURARO DERRITE;PL
193;ELIAS BONFIM AGUIAR DE SOUZA;REPUBLICANOS
194;DANILO ANDRÉ MOSER;PRTB
195;ANDRÉ DA SILVA ROSA;AVANTE
196;CARLOS ALBERTO DE SOUZA;PL
197;CARINA BALBINO CARNEIRO;PP
198;CARLA CRISTINA MASSARO FLORES;MDB
199;CARLA GUIDINI SANTAGUITA NEGRINI;PSDB
200;CARLA ZAMBELLI SALGADO DE OLIVEIRA;PL
201;CARLOS ANTONIO FERREIRA DOS SANTOS;PATRIOTA
202;JOSE CARLOS FERREIRA BARBOSA;PTB
203;CARLOS ALBERTO CANTELLI;AGIR
204;JOSÉ CARLOS DO NASCIMENTO REIS;DC
205;CARLO CAUTI;NOVO
206;CARLOS ALBERTO ADÃO;AVANTE
207;CARLOS AUGUSTO LESSA;DC
208;CARLOS HENRIQUE DARDE;AGIR
209;CARLOS PIRES DE LIMA;PSB
210;CARLOS ROBERTO DE ALMEIDA;AGIR
211;CARLOS HENRIQUE FOCESI SAMPAIO;PSDB
212;CARLOS EDUARDO MARCHESI TROMBINI;REPUBLICANOS
213;CARLOS ALBERTO ROLIM ZARATTINI;PT
214;CAROLINE DO AMPARO CERQUEIRA;UNIÃO
215;CASSIO ELMO GONÇALVES GALLO;PATRIOTA
216;EDVALDO DE OLIVEIRA PAULA;PATRIOTA
217;SAMUEL PAES;PP
218;EDIVAM CAMPOS DE ALBUQUERQUE;UNIÃO
219;CELI REGINA DA CRUZ;PT
220;MARIA CÉLIA DE JESUS OLIVEIRA;DC
221;CÉLIA RAMOS DE JESUS FEITOSA;PSD
222;CELSO HENRIQUE DE OLIVEIRA;NOVO
223;CELSO LUIZ PEREIRA;PMB
224;CELSO UBIRAJARA RUSSOMANNO;REPUBLICANOS
225;CESAR RICARDO DOS SANTOS FERREIRA;PSDB
226;CESAR MAX DE LIMA VIEIRA;NOVO
227;CESAR RENATO DA SILVA;DC
228;ANTONIO CEZAR CORREIA FREIRE;PSD
229;GLALSON CHAMON DA SILVA;PSC
230;CARLOS ALBERTO VEIGA DE QUADROS;PSC
231;EDUARDO DE VASCONCELLOS CORREIA ANNUNCIATO;SOLIDARIEDADE
232;FRANCISCO DE ASSIS DA SILVA;PTB
233;FRANCISCO JOSÉ NOGUEIRA DA SILVA;PT
234;FRANCISCO PEREIRA DE SOUSA FILHO;PSB
235;ALESSANDRO TADEU DAMIN;PODE
236;WALLACE COSTA LANDIM;PSD
237;PAMELA CHRISTY MESQUITA MUNIZ;PCB
238;CHUKS ILOEGBUNAM;PSDB
239;CIBELE FRAGOSO BOTELHO;PSB
240;CIBELE FRANCO NAZARETH;NOVO
241;CICERO DE AQUINO;REPUBLICANOS
242;CICERO SANTANA DA SILVA;AGIR
243;CICERO ANTONIO DA SILVA;PSB
244;MARIA APARECIDA ALCÂNTARA DE SOUSA;PSD
245;APARECIDA BATISTA DIAS BARRETO DE OLIVEIRA;PL
246;MARIA APARECIDA DE SOUZA COSTA SILVA;PSDB
247;MARIA APARECIDA FAUSTINO FERNANDES;PSOL
248;MARIA APARECIDA FIRMINO;REPUBLICANOS
249;MARIA APARECIDA PINTO;PSD
250;APARECIDO BARBOSA DA SILVA;PODE
251;APARECIDO SARAIVA DA ROCHA;MDB
252;EDVAM RAMOS DE SOUZA;MDB
253;CLAUDINEIA MOREIRA DE ALMEIDA;PTB
254;CLAUDETE ALVES DA SILVA;PT
255;ANA CLAUDIA CARLETTO;PSDB
256;CLAUDIA CASTALDELLI CORRÊA;REPUBLICANOS
257;CLAUDIA CARRATO GRANDE;PSD
258;CLAUDIA SANTOS LEAL;PATRIOTA
259;CLÁUDIA PEREIRA CALDAS;PP
260;CLAUDILENA DE SOUZA SIQUEIRA;AGIR
261;CLAUDINEI DA ROCHA CORDEIRO;MDB
262;CLAUDIA KEITI DA COSTA;PDT
263;CLAUDIO DONIZETE DOS REIS;PSTU
264;CLAUDIO FREITAS;SOLIDARIEDADE
265;CLAUDIO GASPAR DOTTORI;REDE
266;CLAUDIO BISPO;PT
267;LUIZ CLAUDIO LUZ DA CONCEIÇÃO;SOLIDARIEDADE
268;CLAUDIO JOSÉ MACHADO;PSOL
269;CLAUDIO SIDNEI RIBEIRO;AGIR
270;CLEBER ARAÚJO BARBOSA;PODE
271;CLEBER DA ROSA MOREIRA;PP
272;CLEBER JACOB;PSD
273;CLEIDE FRANCISCO BIZERRA DA SILVA;PODE
274;CLENILZA PANATO;PCO
275;CLEOMENES ANTUNES JUNIOR;AVANTE
276;CLEUSA RAMOS ZERBINI;MDB
277;CLEUZA BORDIN QUEIROZ DA SILVA;SOLIDARIEDADE
278;CLOVES ALVES DOS SANTOS;PDT
279;CLOVIS PEREIRA JURADO;AVANTE
280;GISELDA MÁXIMO DE LIMA;AVANTE
281;BOLIVAR FUNDÃO FILHO;PTB
282;JADSON JOSÉ BARACHO DA SILVA;PSC
283;RENATO DO NASCIMENTO;PRTB
284;JOSÉ ROBERTO DE CASTRO;PATRIOTA
285;BENEDITO PEREIRA COSTA JÚNIOR;PATRIOTA
286;DULCINEIA LOPES DE OLIVEIRA;PL
287;EDGARD MARCOS GASPAR;REPUBLICANOS
288;HOMERO DE GIORGE CERQUEIRA;PROS
289;SILVIO ROMERO DE MAGALHAES LEITE;PTB
290;MÁRIO ALVES DA SILVA FILHO;PDT
291;NILSON JESPERSEN DE OLIVEIRA FRANCO;PTB
292;PAULO NISHIKAWA;PL
293;RUBENS NUSQUE JUNIOR;PTB
294;PAULO JOSÉ RIBEIRO DA SILVA;PSB
295;WAGNER TADEU SILVA PRADO;PTB
296;FABIO ALVARENGA QUINTINO;REPUBLICANOS
297;ROBERTO ALVES DOS SANTOS;DC
298;RONY DE CASTRO FRANÇA JUNIOR;PP
299;JOSÉ EDUARDO STANELIS DE AQUINO;PODE
300;MARCIO TADEU ANHAIA DE LEMOS;PL
301;PAULO ADRIANO LOPES LUCINDA TELHADA;PP
302;ORLANDO APARECIDO TOMASELLA;PSC
303;COSME APARECIDO FELIX;AVANTE
304;CRISTIANE KÁTIA SIMONI ABREU;PODE
305;CRISTIANE BRASIL FRANCISCO;PTB
306;CLAUDIA CRISTINA DA SILVA COSTA;PSC
307;CRISTIANE FORSSELL FERRARA FOMIN;PODE
308;CRISLAINE MARTINS PINHEIRO DA PAZ;REPUBLICANOS
309;CRISTINA ROHRBACHER;AVANTE
310;CRISTIANE FERREIRA DA SILVA;PL
311;CRISTIANO MOREIRA PINTO BERALDO;UNIÃO
312;CRISTIANO SALMEIRÃO;SOLIDARIEDADE
313;CRISTINA APARECIDA DOS SANTOS FERNANDES;PP
314;DAIANE CRISTINA MELO CORREA BARBOSA;PP
315;JOÃO GOMES DE ALMEIDA;PROS
316;MANOEL DAMIÃO GOMES BARBOSA;PSB
317;DANIELE LUCI CARDOSO BARBOSA FRANCO;PSDB
318;DANIEL MIGUEL;PTB
319;DANIEL AUGUSTO SILVA CURY;PSB
320;DANIEL BELCHIOR SANTANA;PROS
321;DANIEL FERNANDO DE SOUZA CAMILO;REPUBLICANOS
322;DANIEL NEVES DE FARIA;MDB
323;DANIEL JOSÉ DA SILVA OLIVEIRA;PODE
324;DANIEL MOTTA DE OLIVEIRA;REPUBLICANOS
325;DANIEL MONTEIRO COSTA;PDT
326;DANIEL OCTACÍLIO DE PAULA;PMN
327;DANIEL DE ANDRADE VIEIRA;PSC
328;DANIELA CURIATI NUCCI;PSB
329;DANIELE FERNANDES FERREIRA MARQUES;PRTB
330;DANILA CINTIA AZEVEDO DE OLIVEIRA;PTB
331;DANILO DA CUNHA BARBOSA;NOVO
332;DANILO MARCO MORGADO SILVA;SOLIDARIEDADE
333;DANILO SILVEIRA RAMOS;PL
334;DANILO HENRIQUE PEREIRA DAVID;NOVO
335;DANUTTA DE FIGUEIREDO FALCÃO ROSSETO;REPUBLICANOS
336;DANIELA APARECIDA FELIX;PSB
337;DAVID JOSE BUENO GOMES;SOLIDARIEDADE
338;DAVID DE AMORIM CALDAS;PTB
339;DAVID CARDOSO;PL
340;DAVID BEZERRA RIBEIRO SOARES;UNIÃO
341;DAYANE ANDRADE DA SILVA;AGIR
342;AGUINALDO DE CARLOS;DC
343;DEBORA FARIAS CABRAL;REPUBLICANOS
344;DÉBORA CRISTINA CHANTRE CARDOSO;PODE
345;DEBORA ELOISA JUSTINO;UNIÃO
346;DEBORAH SOARES RESEK;AGIR
347;DECIO COUTO CLEMENTE;PROS
348;ASTROGILDO CANDIDO DE SOUSA JUNIOR;SOLIDARIEDADE
349;FABIO DEFOURNY MARTINS;PSB
350;DELBIO CAMARGO TERUEL;UNIÃO
351;JUNIA CRISTINA LEME MACEDO;PTB
352;TERESINHA DE CARVALHO;PATRIOTA
353;ANDRÉ MAXIMILIANO MORON MACHADO;PSD
354;BRUNO MARCELLO DE OLIVEIRA LIMA;PP
355;CARLOS ALBERTO DA CUNHA;PP
356;DAVID ABMAEL DAVID;PL
357;ELTON HUGO NEGRINI;PRTB
358;MAURICIO JOSÉ LEMOS FREIRE;AVANTE
359;MARIO PALUMBO JUNIOR;MDB
360;PAULO FRANCISCO MUNIZ BILYNSKYJ;PL
361;MICHAEL DELLA TORRE NETO;PTB
362;DEMERSON DIAS;PSB
363;DEMÉTRIUS ALVES CABRAL FILHO;NOVO
364;DENILCE JOSEFINA NICOLA;AGIR
365;DENILSON ROCHA ZIROLDO;PSD
366;DENIS EDUARDO ANDIA;MDB
367;ALFREDO ALVES CAVALCANTE;PT
368;DIEGO ARAUJO AGIANI;PP
369;DIJAIR DE JESUS ALMEIDA;PDT
370;DIMITRI SEAN RIBEIRO CARNEIRO;PDT
371;CLAUDINEI ALEXANDRE PIRES;AVANTE
372;DIOGO PEREIRA FORJAZ;PL
373;ELIAS ASSIS NETO;AVANTE
374;WILKY ANDRADE OKAGAWA;AGIR
375;ERNESTO FERNANDES DE FREITAS NETO;PRTB
376;DOMENICO ANTONIO DONINA RODRIGUES;PP
377;EDNA APARECIDA OLIVEIRA SANTOS;MDB
378;VERA LÚCIA CHAGAS CONCEIÇÃO;AVANTE
379;DORIEDSON ANTONIO DA SILVA FREITAS;REDE
380;DOUGLAS ELIAS BELCHIOR;PT
381;DOUGLAS GARCIA BISPO DOS SANTOS;REPUBLICANOS
382;DOUGLAS DE ARAUJO GIGLIO;PP
383;DOUGLAS MELO DE SOUSA;REPUBLICANOS
384;DOUGLAS DE PAULO VIEGAS;UNIÃO
385;JOSÉ FERREIRA CAMPOS FILHO;PMN
386;DENILSON MIOTTO;PTB
387;MARCO AURELIO UBIALI;PSB
388;FABRES LENE DE AQUINO DELMONDES;PODE
389;ADILSON DE MEDEIROS PAULINO;PSC
390;ALEXANDRE DE ALCANTARA;PSDB
391;ERICO ROMÃO DE VILLALBA ALVIM;PROS
392;AMILTON AUGUSTO DA SILVA JUNIOR;PSB
393;ANDRÉ SACCO JUNIOR;PSDB
394;JOSÉ ROBERTO APOLARI;PP
395;ARTUR CESAR BONACCORSI;PMN
396;ROBERTO MARTINS FIGUEIREDO;MDB
397;CAIO JOSÉ CARLOS SILVEIRA GAIANE;PODE
398;CLAUDIMAR AMARO DE ANDRADE RODRIGUES;PCB
399;JOSÉ DE CASTRO COIMBRA;AVANTE
400;AILTON BOLIGNARI;DC
401;EUCLYDES DIAS BUCHLER;AVANTE
402;EVILASIO CAVALCANTE DE FARIAS;PSB
403;FILIPE AUGUSTO FORNARI MONTANHOLI;PP
404;FLÁVIO MIGUEL AMORIM;PP
405;FREDERICK WASSEF;PL
406;GETULIO PEREIRA SERPA;PSB
407;GILBERTO ANTONIO LUIZ;PT
408;JOÃO LUIZ LEITE;PP
409;JOSE JOAQUIM FERNANDES RAPOSO FILHO;PODE
410;JORGE HERMES GUIMARÃES;PATRIOTA
411;JORGE ABISSAMRA FILHO;PSB
412;EDISON IWAO KURAMOTO;PSDB
413;MARCELO DA MOTTA BARRICHELLO;PSD
414;MARCELO MORICKOCHI;PP
415;MAURICIO BERNARDINO SOARES;PL
416;CARLOS MINORU ISHIKO;REPUBLICANOS
417;NEVTON OLIVEIRA ROCHA;PODE
418;NILTON LOURENÇO CANDIDO;PSB
419;ORLANDO COSTA DIAS;PSC
420;PAULO DE TARSO NUNES CHIODE;AVANTE
421;PAULO PURKYT;DC
422;RAPHAEL APARECIDO DE OLIVEIRA;PP
423;RENATO MENEGUELO;MDB
424;RENATO FERREIRA DA SILVA;PATRIOTA
425;RICARDO MITSUO NAKAGAWA;PSD
426;RICARDO YOSHIO;SOLIDARIEDADE
427;JOSE RODRIGUES COSTA;PP
428;ROGER LIN;PODE
429;RUI CARLOS VINCENZI;MDB
430;SINÉSIO LUIZ ANTONIO;PP
431;TASSIO RENAM SOUZA BOTELHO;PROS
432;TIOKI OGUSUKA;PATRIOTA
433;VINICIUS TADEU SATTIN RODRIGUES;PL
434;ROBERTO CACCIARI FILHO;PL
435;CLEBER FERNANDO BERNARDI;PODE
436;DAVID DE OLIVEIRA RUFATO;PSC
437;DOUGLAS YUGI KOGA;NOVO
438;ELIAS ANTONIO NETO;UNIÃO
439;FABIO SIQUEIRA DIAS;REPUBLICANOS
440;HERMES RODRIGUES NERY;PRTB
441;JAQUES ARTUR MUNHOZ;PT
442;JOAO NAVES NETO;PSDB
443;LEANDRO OSVALDO SANTOS MEIRELES DA FONSECA;REPUBLICANOS
444;ELISSANDRO MARCIO SILVA LINDOSO;PSC
445;LUCILIO FERREIRA DA SILVA;PSOL
446;PAULO CESAR DA SILVA FERREIRA;REPUBLICANOS
447;PAULO EDUARDO SEADE SERRA;REPUBLICANOS
448;RENATO KOGA CERQUEIRA;PRTB
449;SINVAL MALHEIROS PINTO JUNIOR;PATRIOTA
450;WALTER AGUIAR DE CARVALHO JUNIOR;AGIR
451;CAROLINA TAKAYAMA DOS SANTOS;PP
452;CLEONICE DE OLIVEIRA;PL
453;ELIANA GALVÃO DIAS;PRTB
454;ELISA CLAUDIA COUTINHO;AVANTE
455;ELZA NUNES MACHADO GALVÃO;UNIÃO
456;FRANCISCA SILVA SERRA MATIAS;AVANTE
457;IRIS MARIA BARROS DE BRITO;AGIR
458;JOSIANE DE OLIVEIRA;PP
459;MARIA AUXILIADORA DE SOUSA;PRTB
460;LOREDANA NOCITO SALAMONE;AVANTE
461;LYSSA CAROLINE MONTEIRO MAXIMO CARTIER;PL
462;MARIA PAULA MILLEN BARCELLOS;AGIR
463;NAYARA MIRANDA ALVES;PROS
464;GERALNICE ALVES TEIXEIRA;PROS
465;NISE HITOMI YAMAGUCHI;PROS
466;SAMIRA SILOTI;PL
467;SANDRA REGINA CARBONE TADEU MUDALEN;UNIÃO
468;SIRLENE DE LIMA DOMINGUES;SOLIDARIEDADE
469;ELAINE CRISTINA GONÇALVES AMORIM;PSC
470;HERICA VELOSO RIBEIRO MONT'ALVÃO;PSC
471;MIRIAN LEE;PMB
472;MARIA EMILIA GADELHA SERRA;PRTB
473;PATRÍCIA CRISTINA MARÇAL;SOLIDARIEDADE
474;ROSA ENEIDE DOS SANTOS ABLAS;PODE
475;SILVIA HELENA BUENDIA;PRTB
476;TARYK AL JAMAHIRIYA AGIO;SOLIDARIEDADE
477;ANTONIO RIBEIRO DUARTE;PSTU
478;JOSE MANOEL DE LIRA FILHO;AGIR
479;EDUARDO SIVINSKI;AVANTE
480;DURVAL LOPES ORLATO;PROS
481;DYEGO RAFAEL BARBOSA SÉRVOLO;PSOL
482;ECLAIR PIRES DE SOUZA;PSB
483;EDER DIAS MASCARENHAS;AGIR
484;EDER SOLDERA BORGHETTI;AGIR
485;EDER GARCIA SOARES VITERBO;DC
486;EDICARLOS VIEIRA;PP
487;EDINALVA JACINTA DE ALMEIDA;PROS
488;JOSÉ EDILSON PACHECO SILVA;PSC
489;EDIMARCOS FERREIRA DA SILVA;PROS
490;EDINALDO ANTÔNIO DO CARMO;PMN
491;EDSON COELHO ARAÚJO FILHO;MDB
492;EDSON FRANCISCO DE SANTANA;PSB
493;EDISON DE OLIVEIRA;PATRIOTA
494;EDIVALDO DOMINGOS DE CASTRO;PMB
495;EDIVALDO CORREIA DE OLIVEIRA;DC
496;EDMILSON DE SOUZA VIEIRA FEITOSA;MDB
497;EDNA PENHA DA SILVA;PSB
498;EDSON FERREIRA PONTES;SOLIDARIEDADE
499;EDSON MOURA;PSD
500;EDUARDO JANZON AVALLONE NOGUEIRA;PODE
501;EDUARDO NANTES BOLSONARO;PL
502;EDUARDO VINICIUS VENTURELLI DE ALMEIDA PRANDO;SOLIDARIEDADE
503;EDUARDO COSENTINO DA CUNHA;PTB
504;EDUARDO PEDROSA CURY;PSDB
505;EDUARDO DIAS REAL;PCB
506;EDUARDO VALERIANO DOS SANTOS;PATRIOTA
507;AUGUSTO EDUARDO VIDAL NETO;PODE
508;JOSÉ EDVALDO BRITO;AVANTE
509;EDVALDO RANZANI CARLOS;AGIR
510;ELAINE APARECIDA PEREIRA GOMES;REPUBLICANOS
511;ELAINE SILVEIRA NEVES;MDB
512;ELAINE CRISTINA DA SILVA;PP
513;ELDO PEDRO DA SILVA;CIDADANIA
514;ADRIANO ELI CORREA;UNIÃO
515;ELIANA FERNANDES CONCEIÇÃO;PSD
516;ELIANA OLIVEIRA DE LIMA;AGIR
517;ELIANA MARUCCI COSTA MIRANDA;MDB
518;ELIAS ARACATI PAIVA;AVANTE
519;ELIAS DE SISTO;PSB
520;ELIAS GUIMARAES BORGES;PTB
521;ELIAS TEIXEIRA;AGIR
522;ELIEL MIRANDA;PSD
523;ELIETE NUNES FERNANDES DA SILVA;CIDADANIA
524;ELIS REGINA VIEIRA RUANO;PSC
525;MARIA ELISABETE DO NASCIMENTO TAHAN LOPES BARROS;PSC
526;ELISANGELA MARIA FERREIRA;PRTB
527;ELISANGELA JOVANA DOS SANTOS;PATRIOTA
528;ELISEU GABRIEL DE PIERI;PSB
529;ELIVALDO NOGUEIRA CHAVES;PMN
530;ELISANGELA BRITO DO NASCIMENTO;PMN
531;ELIZA MURATORI DE SOUZA;PRTB
532;ELLEN RENATA DE MICO CHARKANI SIMÕES;PL
533;ELISANGELA CLENILDA NOBREGA;PROS
534;ELTON FRANCISCO DE BRITO;PSDB
535;ELIZANGELA MOREIRA SOARES DE SOUZA;PMN
536;ELIANE DE SOUSA ALVES MACHADO;REPUBLICANOS
537;ELZA ALVES DE CARVALHO;PDT
538;EMANOEL DE CARVALHO MOURA;AVANTE
539;EMERSON WELSCH;PMN
540;EMERSON LUIZ DA CRUZ;PATRIOTA
541;EMERSON JONAS DE OLIVEIRA COSTA;PMB
542;EMERSON VANCINI;PROS
543;EMERSON KAPAZ;PSD
544;AMANDA ROSA MARIA SILVA;SOLIDARIEDADE
